Sector - Reduction Level,Emissions (MMTCO2e)
Mobile Combustion - Automobile - R1_67_R2_91,0.38786711411592556
Mobile Combustion - Motorcycle - R1_67_R2_91,0.013813481404901847
Mobile Combustion - Trucks - R1_67_R2_91,0.6746353858936094
Mobile Combustion - Buses - R1_67_R2_91,0.00762775860002945
Electricity Consumption - Residential Electricity - R1_67_R2_91,0.23072540566727756
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_91,0.26497143402640333
Stationary Combustion - Residential fuel oil - R1_67_R2_91,0.28649937477370685
Stationary Combustion - Residential natural gas - R1_67_R2_91,0.20356534523394965
Stationary Combustion - Residential propane - R1_67_R2_91,0.022618371692661073
Stationary Combustion - Commercial fuel - R1_67_R2_91,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_91,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_91,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_91,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_91,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_91,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_72,0.5200333089792237
Mobile Combustion - Motorcycle - R1_67_R2_72,0.01852044213618763
Mobile Combustion - Trucks - R1_67_R2_72,0.9045182210933005
Mobile Combustion - Buses - R1_67_R2_72,0.010226926698617928
Electricity Consumption - Residential Electricity - R1_67_R2_72,0.3093453706386333
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_72,0.35526077516470445
Stationary Combustion - Residential fuel oil - R1_67_R2_72,0.38412438812618616
Stationary Combustion - Residential natural gas - R1_67_R2_72,0.2729304863001849
Stationary Combustion - Residential propane - R1_67_R2_72,0.030325609588909435
Stationary Combustion - Commercial fuel - R1_67_R2_72,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_72,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_72,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_72,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_72,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_72,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_87,0.41535314497273135
Mobile Combustion - Motorcycle - R1_67_R2_87,0.01479236763247093
Mobile Combustion - Trucks - R1_67_R2_87,0.7224431230255144
Mobile Combustion - Buses - R1_67_R2_87,0.00816829632704596
Electricity Consumption - Residential Electricity - R1_67_R2_87,0.24707565911445278
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_87,0.2837485170704818
Stationary Combustion - Residential fuel oil - R1_67_R2_87,0.3068020257819903
Stationary Combustion - Residential natural gas - R1_67_R2_87,0.21799091305562474
Stationary Combustion - Residential propane - R1_67_R2_87,0.02422121256173608
Stationary Combustion - Commercial fuel - R1_67_R2_87,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_87,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_87,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_87,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_87,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_87,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_52,0.663970050258593
Mobile Combustion - Motorcycle - R1_67_R2_52,0.023646598561376294
Mobile Combustion - Trucks - R1_67_R2_52,1.1548741173868267
Mobile Combustion - Buses - R1_67_R2_52,0.013057573268529962
Electricity Consumption - Residential Electricity - R1_67_R2_52,0.3949671256507964
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_52,0.4535911655428969
Stationary Combustion - Residential fuel oil - R1_67_R2_52,0.49044375597849393
Stationary Combustion - Residential natural gas - R1_67_R2_52,0.34847319503735097
Stationary Combustion - Residential propane - R1_67_R2_52,0.038719243893039
Stationary Combustion - Commercial fuel - R1_67_R2_52,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_52,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_52,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_52,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_52,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_52,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_81,0.4583321010849496
Mobile Combustion - Motorcycle - R1_67_R2_81,0.016323018181207006
Mobile Combustion - Trucks - R1_67_R2_81,0.7971984286104186
Mobile Combustion - Buses - R1_67_R2_81,0.009013516481511745
Electricity Consumption - Residential Electricity - R1_67_R2_81,0.2726419851144031
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_81,0.3131095926026772
Stationary Combustion - Residential fuel oil - R1_67_R2_81,0.3385485791927981
Stationary Combustion - Residential natural gas - R1_67_R2_81,0.24054767468961974
Stationary Combustion - Residential propane - R1_67_R2_81,0.026727519409957746
Stationary Combustion - Commercial fuel - R1_67_R2_81,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_81,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_81,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_81,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_81,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_81,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_84,0.4396638894272271
Mobile Combustion - Motorcycle - R1_67_R2_84,0.015658169357442978
Mobile Combustion - Trucks - R1_67_R2_84,0.7647279362244952
