,Year,Mobile GHG Emissions (MMTCO2e),Agriculture GHG Emissions (MMTCO2e),Commercial GHG Emissions (MMTCO2e),Electricity GHG Emissions (MMTCO2e),Industrial GHG Emissions (MMTCO2e),Residential GHG Emissions (MMTCO2e),Solidwaste GHG Emissions (MMTCO2e),Wastewater GHG Emissions (MMTCO2e),Population,DVMT (Miles)
0,1990,15.120625451432565,0.3752611621865613,3.82856842244544,11.908703011635628,3.001041231546732,8.27902077676852,1.0659119170577414,0.3598416191175128,3289056,72072000
1,1991,15.00588406745369,0.3485021458072518,3.662331107663799,12.015808424267215,3.1007576173867366,8.024782590581658,1.11348220566166,0.3618270521645382,3288640,72948000
2,1992,15.086746866781771,0.3890878001806358,4.312955081544137,11.282675657441759,3.3559177194131053,9.505434790194458,1.2428051216039402,0.36237828944608497,3274997,72293000
3,1993,15.146863740282901,0.4149996385620547,3.843473848617229,10.22866671361591,3.4477192507916894,9.081525207566562,1.2093744539452402,0.36330742457316734,3272325,74025000
4,1994,15.066460856961424,0.40812211032443085,4.172271638135119,10.395885380019983,3.1505480940423123,8.677774567153858,1.2373859851009694,0.36565815417436964,3268346,74352000
5,1995,14.815691655837766,0.40074824117109786,3.841799802626655,10.320433330320103,3.1033033705689292,7.977388522312008,1.2499194159919167,0.365746832418651,3265293,76830000
6,1996,15.623591677922635,0.3449380546934384,4.133427026778716,10.734700429507201,3.2575684210683535,8.461561435508553,1.268975601877997,0.36792568128886316,3267030,76874000
7,1997,15.67985030595315,0.34805656141531116,4.301809732907892,13.201969739517997,3.2664498894373963,8.186119628706559,1.6152088586162265,0.36851996233248135,3268514,78202000
8,1998,15.917011454430899,0.37537953020547093,4.03659265054097,12.948870196922446,3.1195990903841055,7.122706522740808,1.5265766624374668,0.3710867005356629,3272563,79936000
9,1999,17.112669153468147,0.3747995960732722,4.290578323458229,12.210133852255002,3.236275539510739,8.041004574699548,1.4554709745843255,0.3750295080072701,3282031,81630000
10,2000,16.658678196595634,0.35385889921250635,4.548241848061972,11.98990061243198,3.416693737485202,8.79352397191812,1.6052978749476257,0.3778397920802999,3411777,83366000
11,2001,17.301096504004217,0.373414461758142,4.319346492528942,12.343415698509945,3.3387199393499105,8.509110848512396,1.322633037650658,0.3785278370979744,3432835,84279000
12,2002,17.19518780880477,0.4023621558034063,4.128969353614904,11.983738560961358,3.302378472583155,8.243390451427835,1.5639469519535936,0.3822135165309559,3458749,85339000
13,2003,17.921411853560535,0.3671217058487057,4.968386164557834,12.355896167381317,3.7861734541655117,9.813772281344905,1.930847742627606,0.3858753927287463,3484336,85874000
14,2004,19.535976874000312,0.3427942812834586,3.9426267081710766,12.228978878725954,3.5654614850598145,10.304635290622116,1.8972401132246766,0.388014708548098,3496094,86229000
15,2005,18.50621496350461,0.41378709898863225,3.7498448237317046,12.670138824478334,3.644157700354333,9.363512900331877,1.9358498335470449,0.3875406932042004,3506956,86568000
16,2006,17.73314884687809,0.34313235690468263,3.325105077214507,11.08142070071079,3.605842945980277,8.08324814949113,1.9168713744427044,0.3895437348486644,3517460,86922000
17,2007,17.62694658386713,0.5443433509385951,3.3584024404707273,11.291854503543206,3.3737098468251787,8.33817801291158,1.638583624094714,0.3897855179587027,3527270,87609000
18,2008,16.587534262857726,0.4332421603242408,3.379057972679024,10.093072782062062,3.0913014181755307,8.168525296722017,1.7142737571111646,0.39011074380053573,3545579,86479000
19,2009,16.22474552222218,0.336096727627339,3.294153408352791,11.454199128109076,3.3928835138135596,8.205611290635295,1.7485704506298185,0.3910433651882053,3561807,86007000
20,2010,16.03871620069076,0.3213335389268932,3.3682486060887618,11.964953399116686,3.3971917058917422,7.670471350534317,1.8093145739081151,0.3929499421250968,3579173,85738000
21,2011,15.745638545224784,0.3356102779625827,3.6042925632474874,10.461509104253894,3.728555636121442,7.310434516549269,1.863336549145047,0.391845982860085,3588632,85471914
22,2012,15.308146343894725,0.33199676255806154,3.253953212390976,9.630228329838369,3.3855296537522865,6.732967352342183,1.8170566679699829,0.39355156710896033,3595211,85435423
23,2013,15.060185841539207,0.337981329900897,3.5807831062814572,9.47305638399537,3.781738748951425,7.336654979818408,1.8377396345238777,0.39354064755950613,3595792,84770376
24,2014,15.016347930174499,0.2866754155609168,3.8238153135479527,9.811698903942187,3.4103915773434603,7.622242005121761,1.8251679044679565,0.39487155694947873,3595697,85452919
25,2015,15.087476515983449,0.3118636013777379,4.343028001846235,10.185914706607635,3.227885390968953,7.8254284783597114,1.8950667164391772,0.3952034343281662,3588561,86552865
26,2016,15.214360437858042,0.3398834193955319,3.9076774838649584,9.289161469927311,3.1524455627999277,6.380817382407716,1.9505641806405374,0.39459452027260106,3579830,86444182
27,2017,15.325242652499037,0.34129063199098314,3.920870301480812,8.50114557021609,3.123419019009189,6.621178722497604,1.8686399815969477,0.3945666331396812,3575324,86301543
28,2018,15.633220386464755,0.35034367193861504,4.329611881686022,8.066976226393319,3.1379829439970606,7.595504882771238,1.766990096030075,0.39495112620480055,3574561,86563582
29,2019,15.399656045657984,0.3699792043021838,4.1965983044709425,5.69,3.146549113760722,7.414013305990739,1.8609525360082901,0.392797033306232,3566022,86577672
30,2020,13.071437329594403,0.34602767794224876,3.824504770008268,3.2,3.128899390089603,6.665510565406697,1.8429364057531705,0.39184549809305963,3597362,81543552
31,2021,14.766521911161519,0.35,4.001450317452848,3.04,3.3763778012766044,6.72391627697996,1.85,0.39,3623355,79420671
