,Town,County,Unnamed: 1,developed,turf & grass,other grass,ag field,deciduous forest,coniferous forest,water,non-forested wetland,forested wetland,tidal wetland,barren,utility row
0,Andover,Tolland,2015,901.2,326.6,249.7,488.6,7197.5,76.8,339.6,75.3,267.3,0.0,23.4,110.9
1,Ansonia,New Haven,2015,1920.4,382.4,43.3,32.3,1378.0,38.2,125.1,14.7,42.5,0.0,23.2,0.0
2,Ashford,Windham,2015,1875.5,677.3,306.6,1816.5,16275.5,2541.4,536.4,198.1,1015.3,0.0,25.9,0.0
3,Avon,Hartford,2015,3550.7,1773.9,275.1,511.0,5730.5,2167.5,440.8,24.5,422.6,0.0,74.1,21.7
4,Barkhamsted,Litchfield,2015,1826.6,494.5,320.1,548.1,6932.8,11942.5,1821.8,86.3,692.1,0.0,57.8,52.9
5,Beacon Falls,New Haven,2015,1146.9,314.6,263.5,219.4,3698.8,372.5,135.1,2.1,53.2,0.0,98.7,7.4
6,Berlin,Hartford,2015,4478.7,2591.1,410.9,1218.5,5449.8,1491.8,543.1,16.8,866.5,0.0,156.0,133.5
7,Bethany,New Haven,2015,1620.1,753.3,157.9,684.6,9002.0,544.1,286.1,2.2,562.3,0.0,40.0,37.4
8,Bethel,Fairfield,2015,2916.5,1406.9,89.9,237.5,5383.6,172.5,110.1,37.0,358.6,0.0,46.9,84.4
9,Bethlehem,Litchfield,2015,1163.4,954.2,175.4,3169.9,6273.9,343.5,240.2,26.2,202.3,0.0,14.9,10.7
10,Bloomfield,Hartford,2015,4440.2,2647.7,1033.2,1347.6,5458.3,942.7,172.8,43.5,531.7,0.0,108.6,144.5
11,Bolton,Tolland,2015,1610.2,479.6,266.8,925.3,5331.9,175.6,224.5,6.9,380.6,0.0,31.2,0.0
12,Bozrah,New London,2015,1170.1,406.2,297.1,1430.5,8222.7,518.5,217.1,18.7,505.7,0.0,102.8,92.6
13,Branford,New Haven,2015,5191.5,1349.2,304.4,219.4,4159.9,777.9,474.7,57.1,583.2,813.4,192.4,85.5
14,Bridgeport,Fairfield,2015,8645.0,654.4,71.8,0.0,654.5,20.1,244.2,4.9,29.6,14.5,116.1,8.7
15,Bridgewater,Litchfield,2015,867.8,408.7,110.7,2030.1,5851.3,1075.3,633.6,3.7,106.1,0.0,4.4,18.8
16,Bristol,Hartford,2015,7562.8,2338.7,365.3,536.2,5405.4,298.1,274.4,7.6,102.7,0.0,197.5,79.9
17,Brookfield,Fairfield,2015,3501.3,1892.4,196.4,246.4,5520.0,749.0,509.1,39.0,230.4,0.0,131.5,21.1
18,Brooklyn,Windham,2015,1892.1,1196.2,485.1,2376.1,9489.3,1240.4,323.3,88.8,1253.7,0.0,134.5,173.5
19,Burlington,Hartford,2015,2253.6,990.8,400.8,578.6,12646.5,1335.1,553.8,123.0,451.8,0.0,165.3,0.0
20,Canaan,Litchfield,2015,1004.2,365.5,398.6,1815.4,9946.6,5171.6,350.3,215.3,1834.1,0.0,45.0,65.5
21,Canterbury,Windham,2015,1720.4,970.1,582.8,3024.4,16179.7,789.2,477.4,147.2,1594.4,0.0,236.1,36.3
22,Canton,Hartford,2015,2183.9,844.4,165.9,643.0,8997.2,2418.7,323.6,13.2,351.4,0.0,28.9,44.2
23,Chaplin,Windham,2015,971.1,360.0,176.5,664.9,9128.2,494.5,136.6,98.4,427.1,0.0,38.7,72.8
24,Cheshire,New Haven,2015,5466.2,2772.5,812.2,1058.5,8973.8,539.0,431.7,26.4,870.9,0.0,133.8,80.2
25,Chester,Middlesex,2015,1387.1,480.6,217.8,102.2,5940.6,1252.8,584.2,12.2,471.8,196.9,51.7,47.1
26,Clinton,Middlesex,2015,3050.1,819.4,155.2,92.8,4629.0,124.3,172.3,13.5,450.9,705.8,177.1,31.3
27,Colchester,New London,2015,4524.4,1927.4,689.4,1846.1,18653.7,1281.1,721.9,191.4,1722.9,0.0,130.6,79.6
28,Colebrook,Litchfield,2015,1090.5,387.8,153.5,700.7,6382.9,10339.4,1114.5,116.6,715.4,0.0,45.4,0.0
29,Columbia,Tolland,2015,1415.9,635.9,354.6,1171.9,8813.4,254.8,517.3,106.3,506.7,0.0,45.5,195.8
30,Cornwall,Litchfield,2015,1657.4,435.7,293.5,2181.6,16806.9,6888.1,401.2,123.2,890.5,0.0,24.5,14.4
31,Coventry,Tolland,2015,2831.9,1444.1,502.3,2860.5,14747.0,764.0,627.3,24.8,438.4,0.0,71.4,193.4
32,Cromwell,Middlesex,2015,2605.0,1270.0,261.7,800.8,1879.0,157.2,454.5,288.7,501.6,0.0,57.9,25.2
33,Danbury,Fairfield,2015,9482.1,3339.7,506.4,281.2,10374.4,1210.7,1682.5,104.5,930.7,0.0,149.5,56.2
34,Darien,Fairfield,2015,3560.6,2253.3,35.0,28.0,1771.9,246.1,108.5,8.1,25.2,21.2,77.1,4.8
35,Deep River,Middlesex,2015,1361.5,524.0,125.5,129.7,5645.5,232.3,544.6,10.1,251.9,119.5,83.8,16.2
36,Derby,New Haven,2015,1483.0,325.8,99.9,179.6,937.5,110.1,249.0,0.9,36.9,0.0,49.4,0.0
37,Durham,Middlesex,2015,1970.8,1410.5,371.1,1848.8,7216.9,1060.5,168.9,276.8,702.0,0.0,170.2,18.6
38,East Granby,Hartford,2015,1701.7,864.1,660.2,1738.3,3659.6,931.8,109.4,121.6,1091.0,0.0,250.1,89.1
39,East Haddam,Middlesex,2015,3356.5,1561.6,587.2,1835.4,22518.0,2687.8,1757.3,163.3,1274.5,216.6,80.9,195.2
40,East Hampton,Middlesex,2015,2782.4,1003.6,283.9,503.8,15871.5,1380.0,981.2,61.3,662.8,0.0,54.3,88.6
41,East Hartford,Hartford,2015,6880.5,1211.3,732.8,194.6,1896.3,258.0,515.7,10.4,160.3,0.0,163.7,0.2
