,Area,Parameter,2001,2000,1999,1998,1997,1996,1995,1994 ,1993 ,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
0,RURAL , MILES,9072,9041,9014,8984,8956,8920,8872,8829,8814,8784,9160,9086,9045,8988,8949,8930,8909,8889,8876,9423,9401
1,, DVMT,20864000,20651000,20077000,19900000,19197000,18852000,18347000,17395000,18014000,16582000,18395000,18077000,18069000,17888000,17664000,15811000,14844000,13630000,13488000,13739000,14231000
2,SMALL URBAN, MILES,397,396,388,387,387,387,387,382,382,377,459,455,454,453,452,453,453,453,453,440,439
3,, DVMT,1177000,1183000,1137000,1122000,1097000,1100000,1092000,1083000,1198000,1187000,1326000,1295000,1307000,1300000,1497000,1397000,1150000,1262000,1119000,1197000,1010000
4,BRIDGEPORT, MILES,1799,1795,1794,1789,1787,1781,1773,1764,1762,1756,1710,1700,1697,1689,1683,1681,1673,1668,1664,1632,1625
5,, DVMT,8807000,8531000,8428000,8211000,8130000,8052000,8046000,7592000,7542000,7439000,7849000,7854000,7896000,7948000,7830000,7395000,6472000,6384000,6351000,6288000,5469000
6,BRISTOL, MILES,361,359,359,358,356,357,353,351,347,346,321,320,318,314,312,311,308,306,305,280,279
7,, DVMT,1010000,1001000,975000,957000,943000,943000,933000,884000,973000,848000,861000,869000,872000,858000,790000,631000,755000,708000,739000,692000,592000
8,DANBURY, MILES,841,835,831,825,825,823,822,814,815,811,802,800,800,798,797,795,796,792,787,740,738
9,, DVMT,4064000,4034000,3979000,3914000,3645000,3564000,3602000,3485000,3340000,3444000,3287000,3198000,3220000,3100000,3723000,2923000,2760000,2758000,2693000,2577000,2293000
10,HARTFORD, MILES,2605,2597,2592,2581,2573,2564,2547,2527,2524,2544,2407,2395,2384,2364,2348,2344,2332,2324,2308,1867,1863
11, , DVMT,16275000,16183000,15692000,15309000,15042000,14806000,15194000,14932000,14516000,15098000,14019000,13898000,13592000,13566000,14188000,12379000,11415000,11416000,10950000,9506000,9038000
12,SPRINGFIELD, MILES,437,435,434,433,433,432,431,429,427,568,204,204,204,204,204,204,204,203,203,456,455
13,    , DVMT,2013000,2006000,1942000,1895000,1909000,1888000,1890000,2168000,1923000,2828000,1032000,952000,940000,902000,880000,874000,826000,749000,715000,1624000,2184000
14,NEW , MILES,587,585,583,581,577,575,574,568,569,1835,535,533,531,527,524,524,519,516,513,485,483
15,BRITAIN, DVMT,3223000,3282000,3224000,3181000,3059000,3053000,3050000,2915000,2850000,8754000,2857000,2822000,2788000,2681000,2776000,2755000,2569000,2211000,2184000,2072000,1757000
16,NEW HAVEN , MILES,1879,1874,1870,1867,1865,1857,1848,1838,1838,951,1528,1523,1519,1508,1503,1498,1493,1486,1482,1364,1366
17, , DVMT,10476000,10377000,10197000,9994000,10039000,9778000,9829000,9404000,9401000,4452000,8391000,8432000,8078000,8444000,8767000,7907000,7907000,6209000,6334000,5931000,6042000
18,NEW LONDON, MILES,976,974,973,972,970,967,960,956,956,477,832,825,820,816,814,815,814,813,814,739,742
19,, DVMT,5143000,5065000,4982000,4876000,4752000,4629000,4619000,4531000,4329000,2878000,3567000,3576000,3663000,3598000,3923000,3666000,3644000,3410000,3170000,2922000,2512000
20,NORWALK, MILES,481,481,481,481,480,480,479,478,478,391,458,458,458,459,457,458,458,458,458,445,445
21,, DVMT,3330000,3280000,3261000,3132000,3078000,3029000,3009000,3153000,3098000,1940000,2789000,2815000,2857000,2869000,3039000,2655000,2239000,2404000,2244000,2224000,1864000
22,STAMFORD, MILES,718,719,717,718,718,718,718,716,715,714,312,303,298,298,299,300,300,299,299,282,281
23,, DVMT,4605000,4533000,4524000,4336000,4265000,4202000,4190000,4015000,4036000,4064000,1508000,1439000,1486000,1408000,1539000,1306000,1286000,1204000,1162000,1102000,1185000
24,WATERBURY, MILES,749,749,748,745,743,734,730,727,725,721,711,710,709,707,707,706,707,707,708,672,672
25,, DVMT,3281000,3233000,3205000,3102000,3040000,2972000,3023000,2787000,2799000,2772000,4064000,3889000,4015000,3741000,3927000,3748000,3122000,2990000,3195000,3101000,2784000
26,WORCESTER, MILES ,5,5,5,5,5,5,6,5,5,5,685,679,677,673,672,669,667,665,664,654,653
27,, DVMT,11000,7000,7000,7000,6000,6000,6000,8000,6000,7000,3003000,2956000,2950000,2902000,2813000,2455000,2349000,2247000,2177000,2196000,2094000
28,TOTAL, MILES ,20907,20845,20789,20726,20675,20600,20500,20384,20357,20280,20124,19991,19914,19798,19721,19688,19633,19579,19534,19479,19442
29,, DVMT,84279000,83366000,81630000,79936000,78202000,76874000,76830000,74352000,74025000,72293000,72948000,72072000,71733000,71205000,73356000,65902000,61338000,57582000,56521000,55171000,53055000
30, , ,,,,,,,,, ,,,,,,,,,,,,
31, ,  ,,,,,,,,,,,,,,,,,,,,,
