,Sector,Subsector,Activity Data Description,Activity Data Unit,MSA,County,Year,Activity Data
0,Mobile Combustion,Automobile,Vehicle miles traveled,Billion Miles,New Haven-Milford,New Haven,2021,2.8065889403914404
1,Mobile Combustion,Automobile,Vehicle miles traveled,Billion Miles,Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,4.251132553869635
2,Mobile Combustion,Automobile,Vehicle miles traveled,Billion Miles,Bridgeport-Stamford-Norwalk,Fairfield,2021,2.8979099731431552
3,Mobile Combustion,Motorcycle,Vehicle miles traveled,Billion Miles,New Haven-Milford,New Haven,2021,0.20867410207238568
4,Mobile Combustion,Motorcycle,Vehicle miles traveled,Billion Miles,Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,0.3160780888510549
5,Mobile Combustion,Motorcycle,Vehicle miles traveled,Billion Miles,Bridgeport-Stamford-Norwalk,Fairfield,2021,0.21546395798449836
6,Mobile Combustion,Trucks,Vehicle miles traveled,Billion Miles,New Haven-Milford,New Haven,2021,3.870989848423173
7,Mobile Combustion,Trucks,Vehicle miles traveled,Billion Miles,Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,5.863377683671579
8,Mobile Combustion,Trucks,Vehicle miles traveled,Billion Miles,Bridgeport-Stamford-Norwalk,Fairfield,2021,3.9969444496267617
9,Mobile Combustion,Buses,Vehicle miles traveled,Billion Miles,New Haven-Milford,New Haven,2021,0.025631659113000794
10,Mobile Combustion,Buses,Vehicle miles traveled,Billion Miles,Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,0.03882420360773231
11,Mobile Combustion,Buses,Vehicle miles traveled,Billion Miles,Bridgeport-Stamford-Norwalk,Fairfield,2021,0.026465664245584504
12,Electricity Consumption,Residential,Electricity consumption,TWh,New Haven-Milford,New Haven,2021,2.481066159
13,Electricity Consumption,Residential,Electricity consumption,TWh,Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,3.549718589
