MSA,County,Year,Sector,Subsector,Activity Data Description,Activity Data Unit,Activity Data,GHG Emissions (MMTCO2e),Population,Emissions per Capita (MTCO2e)
New Haven-Milford,New Haven,2021,Mobile Combustion,Automobile,Vehicle Miles Traveled,Billion Miles,2.8065889403914404,1.0288993020122097,864751,1.1898214653839194
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Mobile Combustion,Automobile,Vehicle Miles Traveled,Billion Miles,4.251132553869635,1.558470944743266,1238888,1.257959513
Bridgeport-Stamford-Norwalk,Fairfield,2021,Mobile Combustion,Automobile,Vehicle Miles Traveled,Billion Miles,2.8979099731431552,1.062377716148684,986344,1.0770864081382197
New Haven-Milford,New Haven,2021,Mobile Combustion,Motorcycle,Vehicle Miles Traveled,Billion Miles,0.20867410207238568,0.036643172,864751,0.042374247
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Mobile Combustion,Motorcycle,Vehicle Miles Traveled,Billion Miles,0.3160780888510549,0.055503312,1238888,0.044800912
Bridgeport-Stamford-Norwalk,Fairfield,2021,Mobile Combustion,Motorcycle,Vehicle Miles Traveled,Billion Miles,0.21546395798449836,0.037835471,986344,0.038359306
New Haven-Milford,New Haven,2021,Mobile Combustion,Trucks,Vehicle Miles Traveled,Billion Miles,3.870989848423173,1.7896126081102075,864751,2.0695120423222497
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Mobile Combustion,Trucks,Vehicle Miles Traveled,Billion Miles,5.863377683671579,2.7107212986066136,1238888,2.188027730195638
Bridgeport-Stamford-Norwalk,Fairfield,2021,Mobile Combustion,Trucks,Vehicle Miles Traveled,Billion Miles,3.9969444496267617,1.8478431773418107,986344,1.8734266922511928
New Haven-Milford,New Haven,2021,Mobile Combustion,Buses,Vehicle Miles Traveled,Billion Miles,0.025631659113000794,0.020234238,864751,0.023398917939215565
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Mobile Combustion,Buses,Vehicle Miles Traveled,Billion Miles,0.038824204,0.030648744,1238888,0.024738914420679593
Bridgeport-Stamford-Norwalk,Fairfield,2021,Mobile Combustion,Buses,Vehicle Miles Traveled,Billion Miles,0.026465664245584504,0.020892621,986344,0.021181880820530158
New Haven-Milford,New Haven,2021,Electricity Consumption,Residential,Electricity Consumption,TWh,2.481066159,0.6120477872397366,864751,0.7077734367924832
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Electricity Consumption,Residential,Electricity Consumption,TWh,3.549718589,0.875670888,1238888,0.7068200583397999
Bridgeport-Stamford-Norwalk,Fairfield,2021,Electricity Consumption,Residential,Electricity Consumption,TWh,3.511203402,0.8661696766719452,986344,0.8781618549633244
New Haven-Milford,New Haven,2021,Electricity Consumption,Commercial/Industrial,Electricity Consumption,TWh,2.849324964,0.7028925984166559,864751,0.812826581
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Electricity Consumption,Commercial/Industrial,Electricity Consumption,TWh,3.707315319,0.9145480177394688,1238888,0.7382007233417943
Bridgeport-Stamford-Norwalk,Fairfield,2021,Electricity Consumption,Commercial/Industrial,Electricity Consumption,TWh,3.459753129,0.853477542,986344,0.8652939968522525
New Haven-Milford,New Haven,2021,Solid Waste,Waste Combustion,Waste Combustion Emissions, ,,0,864751,0
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Solid Waste,Waste Combustion,Waste Combustion Emissions, ,,0.289425,1238888,0.23361675954565708
Bridgeport-Stamford-Norwalk,Fairfield,2021,Solid Waste,Waste Combustion,Waste Combustion Emissions, ,,0.290551,986344,0.29457369842570136
New Haven-Milford,New Haven,2021,Solid Waste,Landfill Emissions,Landfills Emissions, ,,0,864751,0
Hartford-east Hartford-Middletown,"Hartford, Middlesex, Tolland",2021,Solid Waste,Landfill Emissions,Landfills Emissions, ,,0.087594,1238888,0.070703728
Bridgeport-Stamford-Norwalk,Fairfield,2021,Solid Waste,Landfill Emissions,Landfills Emissions, ,,0,986344,0
New Haven-Milford,New Haven,2020,Stationary Combustion,Residential,Household Heating Oil Consumption,Million Gallon,74.62329214214132,0.759970323,855733,0.8880928084716377
