,p,d,q,MAPE,MAE,RMSE
0,0,0,0,24.16361983179854,1.605627252356038,1.6307342509895677
1,0,0,1,22.177176799366787,1.4779710633570473,1.525870831476808
2,0,0,2,20.496942387095242,1.3671701069450168,1.4341207614672586
3,0,0,3,24.11026850856724,1.4967886082497395,1.6876050294983045
4,0,0,4,17.46906889575007,1.1719304701771922,1.266924834112174
5,0,0,5,17.33410387300389,1.1571732150414487,1.2354370293216512
6,0,0,6,16.96249131298393,1.1261088232610816,1.211449103331184
7,0,0,7,13.402144042603158,0.9024340916255958,1.022348472643775
8,0,0,8,501.20036842742104,34.504405213646585,42.121213973764824
9,0,0,9,284667830.6936816,19623215.268544126,27121301.228051923
10,0,1,0,5.405850556861748,0.34142373435702333,0.3975464044183207
11,0,1,1,4.78074131462417,0.30244443095946344,0.3579257100048975
12,0,1,2,4.479646049578264,0.28225103005505303,0.3378031977736525
13,0,1,3,3330845392.52969,158860227.27426943,158860227.30469394
14,0,1,4,3.605307297749961,0.22395542410205982,0.28439903988521276
15,0,1,5,56885495.283976994,3509304.668745282,6561896.9196592225
16,0,1,6,4.4656716763473066,0.28506378969063534,0.34135777212661156
17,0,1,7,5.782506665527167,0.35718116499624564,0.4152247728072874
18,0,1,8,51.2081088308159,3.5540091493023787,3.6654443243966384
19,0,1,9,1168944538.544123,82792831.34228829,87525595.66081715
20,0,2,0,7.810425724835572,0.5079817791624615,0.5984341280178256
21,0,2,1,6.337720294674851,0.40867973130441415,0.47337692290087247
22,0,2,2,5.497674179343888,0.3559472790663042,0.4201097488135212
23,0,2,3,14.327510265566954,0.8327606818593392,0.9852862375287845
24,0,2,4,7.8324134703773725,0.4989807293565155,0.6046319388836284
25,0,2,5,14.731857673190765,0.9342110866736195,1.104117454397131
26,0,2,6,18.332339026153143,1.1671360729065046,1.4087498755737986
27,0,2,7,268199.3135850939,19237.24565920637,22649.887520767963
28,0,2,8,1946667850.3223248,137927967.18335015,144694385.74394697
29,0,2,9,1844.7317496944572,129.38907496030077,141.15259836239906
30,1,0,0,3.3579266407444415,0.21826456666412888,0.2934220466189243
31,1,0,1,3.9819768790023304,0.25485512701105784,0.33695895310768453
32,1,0,2,4.4985469260022075,0.2822378439776968,0.34403372385406933
33,1,0,3,10.419141745420543,0.5997242984916309,0.7061214921131911
34,1,0,4,5.966921840513068,0.3754417780435018,0.46708898215673916
35,1,0,5,10.012829806539605,0.6390288175298819,0.8379208226025151
36,1,0,6,2075203810491.9036,132007333115.89615,197126725774.17728
37,1,0,7,8.022572085949893,0.5178821259447457,0.6240594618012185
38,1,0,8,5.594833470954614,0.36894273440547665,0.4499718682405959
39,1,0,9,4.786726809589785,0.3020369704497409,0.3812972874019775
40,1,1,0,4.381448797613559,0.27864442213189916,0.33263246838373023
41,1,1,1,5.986103565998635,0.3842260911899591,0.46033679849399717
42,1,1,2,4.723636414743365,0.3011104828829937,0.38798627054019963
43,1,1,3,978.3230358704775,47.32438705223795,48.25523902680722
44,1,1,4,7.038853085864321,0.4457827487868603,0.5408544417411638
45,1,1,5,20.05405472061105,1.2685344352074124,1.551296197485565
46,1,1,6,22.6368187944815,1.4429845137558028,1.9244547776075673
47,1,1,7,9.914735343380339e+17,7.270208372830154e+16,2.165085272946433e+17
48,1,1,8,8792.88139639748,633.6988740853292,851.8694134461933
49,1,1,9,6369.36058469835,451.1639994562007,543.5193564089565
50,1,2,0,6.763695610900919,0.430774638304101,0.5024345313351193
51,1,2,1,6.386751010672849,0.41201013100005435,0.49072996347815856
52,1,2,2,5.7918469873935505,0.3731418862339109,0.43019760411263147
53,1,2,3,8.410002580695547,0.5410552745181076,0.660908006100527
54,1,2,4,9.69772754301071,0.6232155476851744,0.7763373488875349
55,1,2,5,5349.245377362942,334.3605860186586,363.0212910238653
56,1,2,6,7.816007766337421,0.5032393621342538,0.6182758637960684
57,1,2,7,17.90401188371255,1.210768775519029,1.4039527840948787
58,1,2,8,92038253038858.66,6478914687280.597,6968267463041.383
59,1,2,9,8.875937015833372,0.5722042007733691,0.7071228372729046
60,2,0,0,4.71655073510078,0.30610737010958994,0.39185071759751977
61,2,0,1,22.599075280356864,1.4391510165499268,1.9684991237161715
62,2,0,2,52.04112405243884,3.3054995006098187,4.927456838931765
63,2,0,3,38.03994644606364,2.425544944247174,3.4943586496160832
64,2,0,4,13.03049279855811,0.8199684956875842,1.0686467630809617
65,2,0,5,24.7569379159942,1.57181546450664,2.1762547572532656
66,2,0,6,17.31199541186586,1.1044015501117497,1.4246024744252745
67,2,0,7,6.335699615185553,0.41262856771996315,0.49492081092707363
68,2,0,8,7.004691222176875,0.43526232294261824,0.5271947384388392
69,2,0,9,36.916802033873374,2.3620793463355456,3.3089829225846286
70,2,1,0,4.893344418278531,0.3101636682264067,0.3684490830147963
71,2,1,1,5.701918319492845,0.3646410112651691,0.43782947715835174
72,2,1,2,5.1116804711470305,0.3275158954339439,0.3985375506445657
73,2,1,3,7.572468575779192,0.4806344585923494,0.589536601393536
74,2,1,4,7.636663107940623,0.48593250383808756,0.6084889494424162
75,2,1,5,79.7815193610417,5.041072255621489,6.435156130310061
76,2,1,6,14.178684238749216,0.9006017034284459,1.145712071477381
77,2,1,7,17.936579409885844,1.1473187811080365,1.521948364690664
78,2,1,8,881.1003236448735,62.892086110127494,77.15738173905352
79,2,1,9,27.394308365783626,1.738659638279906,2.371442011430184
80,2,2,0,5.207305454969669,0.33430650646842036,0.3938889178578383
81,2,2,1,5.985514124687848,0.38979554420483276,0.47920600676676595
82,2,2,2,8.442105683517905e+28,4.725219008118006e+27,1.3938637320028187e+28
83,2,2,3,6.378454625067547,0.40718559816433053,0.4823403341514503
84,2,2,4,7.169349391718086,0.4500921181153309,0.5325352596194987
85,2,2,5,103805.19109374317,6611.912613777317,10177.757292504342
86,2,2,6,7.656178270843029,0.4906658711614729,0.6074250455930812
87,2,2,7,20.86710165211261,1.4304126047111252,1.6647466187226319
88,2,2,8,14676508962130.88,1032398587853.6321,1047051908463.3344
89,2,2,9,12.590420724577173,0.8090833944712423,0.9955551890654961
90,3,0,0,5.993449828286898,0.3819583671690231,0.486887098366027
91,3,0,1,17.094752477340485,1.0849832304240132,1.4668314111608338
92,3,0,2,66.46478179460435,4.232134831793497,6.40699231830861
93,3,0,3,42.72364412462751,2.72215475010349,3.9806126289296015
94,3,0,4,6.5889065495099945,0.4238381874122634,0.5188811807987415
95,3,0,5,6.062198477200011,0.3776288506399944,0.47280572796080733
96,3,0,6,18.179206131652972,1.1565639451014342,1.51822712594337
97,3,0,7,4.099808084336953,0.27067809098599066,0.3293624727367396
98,3,0,8,8.327211559429253,0.5404569446730404,0.6322486257798132
99,3,0,9,23.41643644350045,1.5010917886706123,2.019250356306766
100,3,1,0,5.760198415498537,0.36720508050314693,0.4474590409258542
101,3,1,1,6.325934104328214,0.40325718446224024,0.5091159331882216
102,3,1,2,6.109771243293316,0.3919968295508751,0.4720551645999456
103,3,1,3,5.548639593790876,0.3566032035684604,0.4525293789240403
104,3,1,4,6.001691387129197,0.3820494657134768,0.48037022791879336
105,3,1,5,3292.856834563036,208.73318732694776,288.22605828157964
106,3,1,6,13.906608576974326,0.8740634322739126,1.124229251852799
107,3,1,7,28.648047695527634,1.81831907950024,2.5190004552013074
108,3,1,8,1123.3330209079118,80.78115210138985,106.49811781119745
109,3,1,9,20.548709696315015,1.3058057016518427,1.7359788132947738
110,3,2,0,5.057776498042001,0.32502874877647614,0.39649132247261193
111,3,2,1,6.490788249357854,0.4223197326454399,0.5033227220218462
112,3,2,2,19995632.713005643,1089600.2647148531,2365885.8691882645
113,3,2,3,6.6043056867231416,0.414114075225852,0.49544605852338297
114,3,2,4,383693899954524.7,24860102738098.96,58657545305903.586
115,3,2,5,12.110270995895505,0.7761313881442575,0.9997502157371543
116,3,2,6,9.107940620464554,0.5847575925128478,0.725236388066089
117,3,2,7,22.497624568894487,1.5401399170849737,1.8041189612269979
118,3,2,8,315955807554.14435,22245409412.772614,22541674150.426804
