Year,DVMT (Miles)
2022,87720645.34463981
2023,88853408.34814775
2024,89989843.36630097
2025,91146796.27158532
2026,92269072.75311865
2027,93429935.58342552
2028,94556734.41624808
2029,95707631.56571086
2030,96846549.24331589
2031,97986054.840211
2032,99133619.4708949
2033,100268203.88049845
2034,101416948.41020834
2035,102553383.36940794
2036,103698364.59119903
2037,104839268.98755978
2038,105980114.8880784
2039,107124105.76127863
2040,108263246.89435972
2041,109407578.2933945
2042,110547466.61301062
2043,111690380.30589423
2044,112831914.85004276
2045,113973329.03193657
2046,115115963.61832753
2047,116256789.42580964
2048,117399515.47679761
2049,118540639.71767806
2050,119682832.89180508
