Year,New Haven VMT (billion miles),Hartford VMT (billion miles),Bridgeport VMT (billion miles)
2022,6.609706193757692,10.367726552792913,6.740558258220029
2021,6.476589397413589,10.136860655200838,6.604199112024871
2020,6.65520694431393,10.408541924836001,6.786277644766238
2019,7.045483762555771,11.045021420598308,7.1848447243720175
2018,7.046745966117779,11.045125444695383,7.1859251528421835
2017,7.024323406809995,11.011940282266337,7.163026296720952
2016,7.035379065330764,11.029918928958383,7.174323154267091
2015,7.036562913936871,11.043169275307314,7.175566764803253
2014,6.946835634088142,10.902716143261975,7.0840784664915
2013,6.730978410909716,10.761974961296303,6.8693773101372475
2012,6.778028839620777,10.84470801117016,6.917568258884597
2011,6.768798636865943,10.846242597250242,6.908458237575397
2010,6.795227326524056,10.881492608129417,6.935281700302235
2009,6.821355600665934,10.91689797975549,6.961821164602773
2008,6.858525362840291,10.977197312777466,6.999710980924197
2007,6.948158771020748,11.120789106969582,7.091171812006178
2006,6.896853361848396,11.034966998721725,7.038663760236329
2005,6.862021212399362,10.987977655163776,7.003324973729741
2004,6.825775512324242,10.942129722122987,6.966621294682519
2003,6.791812576013821,10.895312821145149,6.932138823516902
2002,6.76349113062561,10.832812350693223,6.9026669982053575
2001,6.095945952454446,10.432298042731258,6.249674024322575
2000,6.027278659953571,10.318827588096715,6.179329937771807
1999,5.913897968120989,10.107884917843679,6.0626267380339565
1998,5.773437242842156,9.891736044438002,5.919380613061803
1997,5.667450354183241,9.684339468256379,5.809873231048068
1996,5.570581122814191,9.520256159006935,5.710527620824317
1995,5.60302281189334,9.527919522743579,5.742252617932518
1994,5.445402321965614,9.229984252135864,5.579629456736236
1993,5.361344027306204,9.170282094649215,5.495710349537469
1992,5.30583049301681,8.982339202827546,5.435702513974686
1991,5.224600689482146,9.018985874157025,5.357633877495543
1990,5.170103167344042,8.913338902940508,5.301434467228034
1989,5.138687910458457,8.869268625864262,5.269474929898537
1988,5.1040205806161145,8.805238799761012,5.233778021884589
1987,5.297902996627906,9.0904991665283,5.430338429684258
1986,4.758922129249159,8.168000494548517,4.87774486213948
1985,4.433983311409845,7.5998471935154885,4.544973307656905
1984,4.167426703541972,7.1414473761607855,4.270943031274841
1983,4.093828251605149,7.007691302506079,4.19576237144194
1982,3.94596211996879,6.824529598174111,4.046053569991403
1981,3.735400248178615,6.536687096770462,3.8332030149556804
1980,3.7346797606254167,6.53455900349652,3.8324381132020555
