Year,New Haven VMT (billion miles),Hartford VMT (billion miles),Bridgeport VMT (billion miles)
2022,6.91188455,10.46941253,7.136784045
2021,6.753972446662694,10.230223501109428,6.97373378403896
2020,6.9345032782587115,10.50367305552403,7.160138743387572
2019,7.362607288777505,11.15212102357765,7.602172439085083
2018,7.361409068332182,11.150306082362526,7.600935230839675
2017,7.339125144466176,11.116552684131891,7.577926230738986
2016,7.351255234324263,11.134926097899383,7.5904510105059755
2015,7.360497689445558,11.148925619267958,7.599994197428316
2014,7.266957747220481,11.007240925881883,7.503410644503933
2013,7.208913958901663,10.919322159253511,7.443478222399878
2012,7.265469878880426,11.004987255796731,7.501874363775638
2011,7.2685730912487925,11.00968768304166,7.505078548735412
2010,7.291201173960946,11.043962377730606,7.528442905952437
2009,7.314077064648803,11.07861242647923,7.55206313434243
2008,7.354216173959838,11.139411025027002,7.593508293450521
2007,7.450311922946003,11.28496699188925,7.692730814196587
2006,7.391889109181848,11.19647411646061,7.632407033884598
2005,7.361784777198571,11.150875167549781,7.60132316455353
2004,7.3329560525027215,11.107208377491105,7.57155640832971
2003,7.302766680033617,11.061480617990133,7.5403847314581585
2002,7.257270020115388,10.992566952263315,7.493407697299622
2001,7.167127105137215,10.856027726711117,7.400331704387383
2000,7.089485141575826,10.738423657910024,7.32016341992618
1999,6.941854858177611,10.514808473420763,7.167729529647267
1998,6.797796275184191,10.296603333717531,7.01898355606865
1997,6.650336072757632,10.073245770408557,6.866725280870704
1996,6.53740230757743,9.902185306697877,6.7501168671089555
1995,6.533660526200978,9.89651764073156,6.746253335327693
1994,6.322930202318042,9.577324998355758,6.528666250010212
1993,6.295121963452133,9.535203935378807,6.499953184272191
1992,6.147831841997232,9.312103993250119,6.347870524155211
1991,6.203533360214876,9.396474929794167,6.405384463171736
1990,6.129037894629141,9.283636852828387,6.3284650577084145
1989,6.100209169933291,9.239970062769713,6.2986983014845945
1988,6.055307793415861,9.171958071173899,6.252335920109441
1987,6.2382298784328905,9.449029650572749,6.441209939688901
1986,5.604338097067511,8.488875511642474,5.786692532926795
1985,5.216213319746395,7.900983978227155,5.385938918161265
1984,4.89680125497468,7.417171401647855,5.056133796106198
1983,4.80657329951068,7.2805033655055125,4.962969995653475
1982,4.691768643642251,7.106609068811673,4.844429816001095
1981,4.511822975629219,6.83404586006785,4.65862906033855
1980,4.510207206398478,6.8315984588551215,4.656960717069367
1979,4.527182648017613,6.8573111136172225,4.67448850707047
1978,4.400437372493524,6.665330393150734,4.543619182851297
1977,4.459849207107864,6.755321335742746,4.604964164859107
1976,4.398806466056306,6.6628600636529605,4.54193520983991
1975,4.248296456686481,6.434882966149667,4.386527892817613
1974,4.194942310999159,6.354067588325352,4.331437705341046
1973,4.291865163750493,6.500876366987338,4.431514242225853
1972,4.146480884623493,6.280663198994359,4.281399436898644
1971,3.988981227642455,6.042098901465984,4.118775042508948
1970,3.8314815706614165,5.8035346039376075,3.956150648119251
1969,3.6588377338830744,5.542031458895283,3.777889311305219
1968,3.4801362081777123,5.27135274908526,3.5933731799599427
1967,3.265088633950722,4.945620779479639,3.3713283692347495
1966,3.1807470958752813,4.817868883576446,3.2842425189267366
