Year,Sector,Subsector,Activity Data Description,Activity Data Unit,Activity Data,GHG Emissions (MMTCO2e),Population,Emissions per Capita (MTCO2e)
2021,Mobile Combustion,Automobile,Vehicle Miles Traveled,Billion Miles,4.251132553869635,1.558470944743266,1238888,1.25795951267852
2021,Mobile Combustion,Motorcycle,Vehicle Miles Traveled,Billion Miles,0.3160780888510549,0.0555033124022452,1238888,0.04480091211009002
2021,Mobile Combustion,Trucks,Vehicle Miles Traveled,Billion Miles,5.863377683671579,2.7107212986066136,1238888,2.188027730195638
2021,Mobile Combustion,Buses,Vehicle Miles Traveled,Billion Miles,0.03882420360773231,0.0306487442088069,1238888,0.024738914420679593
2021,Electricity Consumption,Residential,Electricity Consumption,TWh,3.549718589,0.875670888436478,1238888,0.7068200583397999
2021,Electricity Consumption,Commercial/Industrial,Electricity Consumption,TWh,3.707315319,0.9145480177394688,1238888,0.7382007233417943
2021,Solid Waste,Waste Combustion,Waste Combustion Emissions, ,,0.2955230090231463,1238888,0.23853892282687886
2021,Solid Waste,Landfill Emissions,Landfills Emissions, ,,0.0894395523965569,1238888,0.07219341247679928
2020,Stationary Combustion,Residential,Household Heating Oil Consumption,Million Gallon,115.88298874445694,1.1801627868425364,1231523,0.9582953682899438
2020,Stationary Combustion,Residential,Household Propane Consumption,Million Gallon,19.32511653925042,0.1109580553775871,1231523,0.09009824045315198
2020,Stationary Combustion,Residential,Household Natural Gas Consumption,Million cf,14203.394761583872,0.773232810820626,1231523,0.6278671294166864
2020,Stationary Combustion,Commercial,Commercial Building Footprint,Unitless Ratio,0.4184786058114842,1.6004734240724312,1231523,1.2995887401797865
2020,Stationary Combustion,Industrial,, ,,0.3478089094223801,1231523,0.2824217732209468
2017,Agriculture & Land management,Organic Fertilizer,Organic Fertilizer Land Area,Acres,604.4730805621581,0.0003452925540059,1239055,0.00027867411374466833
2017,Agriculture & Land management,Synthetic Fertilizer,Synthetic Fertilizer Land Area,Acres,21949.928737913368,0.1694383225316446,1239055,0.1367480237210169
2017,Agriculture & Land management,Manure Fertilizer,Manure Fertilizer Land Area,Acres,8441.180670620543,0.0006516009733307,1239055,0.0005258854315027985
2021,Wastewater Treatment,Wastewater Facility,Waste Water Facility,Unitless Ratio,0.5834682244808476,0.2323470028280534,1238888,0.18754480052115557
2015,Forestry,Deciduous Forest,Deciduous Forest Area,Thousand Hectare,192.04617611999998,-1.5702975667412002,1240217,-1.2661474296362654
2015,Forestry,Coniferous Forest,Coniferous Forest Area,Thousand Hectare,35.299674210000006,-0.28863366945710006,1240217,-0.23272836080871334
2015,Forestry,Forested Wetland,Forested Wetland Area,Thousand Hectare,15.2648793,-0.124815829743,1240217,-0.1006403151569443
