Year,VMT (billion miles)
1966,13.651999735
1967,14.0139998
1968,14.936999755
1969,15.703999805
1970,16.44499981
1971,17.120999885
1972,17.79699996
1973,18.420999945
1974,18.004999955
1975,18.23399986
1976,18.879999855
1977,19.141999775
1978,18.886999825
1979,19.43099984
1980,19.35814
1981,19.365075
1982,20.137415
1983,20.630165
1984,21.01743
1985,22.38837
1986,24.05423
1987,26.77494
1988,25.989825
1989,26.182545
1990,26.30628
1991,26.62602
1992,26.386945
1993,27.019125
1994,27.13848
1995,28.04295
1996,28.05901
1997,28.54373
1998,29.17664
1999,29.79495
2000,30.42859
2001,30.761835
2002,31.148735
2003,31.34401
2004,31.473585
2005,31.59732
2006,31.72653
2007,31.977285
2008,31.564835
2009,31.392555
2010,31.29437
2011,31.19724861
2012,31.183929395
2013,30.94118724
2014,31.190315435
2015,31.591795725
2016,31.55212643
2017,31.500063195
2018,31.59570743
2019,31.60085028
2020,29.76339648
2021,28.988544915
2022,29.66631524
